field_G,mean
0.000000000000000000e+00,1.768873641638925983e+04
0.000000000000000000e+00,1.770765605242026504e+04
0.000000000000000000e+00,1.770922304885749691e+04
0.000000000000000000e+00,1.770446288950737289e+04
0.000000000000000000e+00,1.769908029926223753e+04
0.000000000000000000e+00,1.769783512953044556e+04
0.000000000000000000e+00,1.770775592924355442e+04
0.000000000000000000e+00,1.767623628151855519e+04
0.000000000000000000e+00,1.768228831588329922e+04
0.000000000000000000e+00,1.767719976170243535e+04
0.000000000000000000e+00,1.768665497137570492e+04
0.000000000000000000e+00,1.767412932931059913e+04
0.000000000000000000e+00,1.767553417088299830e+04
0.000000000000000000e+00,1.768474526692185464e+04
0.000000000000000000e+00,1.770380897500864012e+04
0.000000000000000000e+00,1.769689429567088519e+04
0.000000000000000000e+00,1.771667944975871069e+04
0.000000000000000000e+00,1.768556216941735329e+04
0.000000000000000000e+00,1.771453310205216621e+04
0.000000000000000000e+00,1.769315818176621178e+04
0.000000000000000000e+00,1.770463896360050057e+04
0.000000000000000000e+00,1.769995136624802035e+04
0.000000000000000000e+00,1.767803093424598046e+04
0.000000000000000000e+00,1.769164998661687787e+04
0.000000000000000000e+00,1.768120562221130967e+04
0.000000000000000000e+00,1.768246236301787940e+04
0.000000000000000000e+00,1.770314562787639443e+04
0.000000000000000000e+00,1.767038331241408378e+04
0.000000000000000000e+00,1.768283675005781697e+04
0.000000000000000000e+00,1.768418685205541260e+04
0.000000000000000000e+00,1.765729475927268504e+04
0.000000000000000000e+00,1.768828011085903927e+04
0.000000000000000000e+00,1.768939544791885783e+04
0.000000000000000000e+00,1.766837707665801281e+04
0.000000000000000000e+00,1.769961472611372301e+04
0.000000000000000000e+00,1.768974087959606550e+04
0.000000000000000000e+00,1.770689431230233822e+04
0.000000000000000000e+00,1.771401133771468449e+04
0.000000000000000000e+00,1.770655252785118864e+04
0.000000000000000000e+00,1.770824739548819707e+04
0.000000000000000000e+00,1.770195307564972973e+04
0.000000000000000000e+00,1.769109703622278903e+04
0.000000000000000000e+00,1.770626896570542158e+04
0.000000000000000000e+00,1.770495590689503661e+04
0.000000000000000000e+00,1.770834909501497896e+04
0.000000000000000000e+00,1.769405741282129020e+04
0.000000000000000000e+00,1.772801722862793031e+04
0.000000000000000000e+00,1.768390754158513664e+04
0.000000000000000000e+00,1.770613565238180308e+04
0.000000000000000000e+00,1.769025037147913099e+04
0.000000000000000000e+00,1.770483621005527311e+04
0.000000000000000000e+00,1.772833438085511807e+04
0.000000000000000000e+00,1.770945574343901899e+04
0.000000000000000000e+00,1.769672636605312073e+04
0.000000000000000000e+00,1.771723360385434353e+04
0.000000000000000000e+00,1.770431096792468452e+04
0.000000000000000000e+00,1.771576067830348620e+04
0.000000000000000000e+00,1.770432758144865147e+04
0.000000000000000000e+00,1.771293033577347887e+04
0.000000000000000000e+00,1.769964699321488661e+04
0.000000000000000000e+00,1.769294931434229147e+04
