field_G,mean
0.000000000000000000e+00,1.768227449332532706e+04
0.000000000000000000e+00,1.764767671700280334e+04
0.000000000000000000e+00,1.763046622515351919e+04
0.000000000000000000e+00,1.765354576612536403e+04
0.000000000000000000e+00,1.764257873746469340e+04
0.000000000000000000e+00,1.766722310135052612e+04
0.000000000000000000e+00,1.766333812786990165e+04
0.000000000000000000e+00,1.765604273530259889e+04
0.000000000000000000e+00,1.765975350157089269e+04
0.000000000000000000e+00,1.764694729907773217e+04
0.000000000000000000e+00,1.765291839127057028e+04
0.000000000000000000e+00,1.767719341212484869e+04
0.000000000000000000e+00,1.767325344855813455e+04
0.000000000000000000e+00,1.765211153079547876e+04
0.000000000000000000e+00,1.767314626870713982e+04
0.000000000000000000e+00,1.766305675587882797e+04
0.000000000000000000e+00,1.766504191594358781e+04
0.000000000000000000e+00,1.767067256927390554e+04
0.000000000000000000e+00,1.766962293503597903e+04
0.000000000000000000e+00,1.767002739460465091e+04
0.000000000000000000e+00,1.767193464539918932e+04
0.000000000000000000e+00,1.765532738758825508e+04
0.000000000000000000e+00,1.765800014214696421e+04
0.000000000000000000e+00,1.767757171639211811e+04
0.000000000000000000e+00,1.768243760086067778e+04
0.000000000000000000e+00,1.765093212599366598e+04
0.000000000000000000e+00,1.766945287113481390e+04
0.000000000000000000e+00,1.766263533352563536e+04
0.000000000000000000e+00,1.765953862421487793e+04
0.000000000000000000e+00,1.765054731233092753e+04
0.000000000000000000e+00,1.765203104832737154e+04
0.000000000000000000e+00,1.765183986949505561e+04
0.000000000000000000e+00,1.766063736724071350e+04
0.000000000000000000e+00,1.765328440021517235e+04
0.000000000000000000e+00,1.765516394170674903e+04
0.000000000000000000e+00,1.766516664171948651e+04
0.000000000000000000e+00,1.765763409812038299e+04
0.000000000000000000e+00,1.766506640472125582e+04
0.000000000000000000e+00,1.765643607128657459e+04
0.000000000000000000e+00,1.766354978392101839e+04
0.000000000000000000e+00,1.766205620678095511e+04
0.000000000000000000e+00,1.765830439772045065e+04
0.000000000000000000e+00,1.763730870084950584e+04
0.000000000000000000e+00,1.764786071442492539e+04
0.000000000000000000e+00,1.765672894782660660e+04
0.000000000000000000e+00,1.765641475158063986e+04
0.000000000000000000e+00,1.766291456187810763e+04
0.000000000000000000e+00,1.767291746848469484e+04
0.000000000000000000e+00,1.766538536042181659e+04
0.000000000000000000e+00,1.765751486488242517e+04
0.000000000000000000e+00,1.765621988264429820e+04
0.000000000000000000e+00,1.767143249422446752e+04
0.000000000000000000e+00,1.766446428057264347e+04
0.000000000000000000e+00,1.766998960248224466e+04
0.000000000000000000e+00,1.765068555999927412e+04
0.000000000000000000e+00,1.764515574032062068e+04
0.000000000000000000e+00,1.766420240922214361e+04
0.000000000000000000e+00,1.765717542572626553e+04
0.000000000000000000e+00,1.765750406535121874e+04
0.000000000000000000e+00,1.766114417860103640e+04
0.000000000000000000e+00,1.766958524166283314e+04
